pair,timeframe,direction,score,factors,entry_ts,entry,sl,tp1,tp2,outcome,exit_ts,exit_price,pnl_pips,expired
US30,1h,LONG,6,HTF BULLISH bias aligns with LONG signal;FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF,2026-07-13 11:00:00+00:00,52893.0,52813.0,53391.0,53656.0,SL,2026-07-13 12:00:00+00:00,52813.0,-80.0,False
US30,1h,LONG,6,FVG present in zone;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF,2026-07-13 13:00:00+00:00,52883.0,52803.0,53391.0,53656.0,SL,2026-07-13 14:15:00+00:00,52803.0,-80.0,False
NAS100,1h,LONG,6,Price at Bullish OB (29614.5 – 29922.75);Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ),2026-07-13 14:00:00+00:00,29630.0,29599.09,29915.0,30094.0,SL,2026-07-13 14:00:00+00:00,29599.09,-30.9,False
EUR/JPY,15min,SHORT,6,HTF BEARISH bias aligns with SHORT signal;Price at Bearish OB (185.05 – 185.09);Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ),2026-07-14 08:30:00+00:00,185.0540008544922,185.14,184.87,184.75,SL_AFTER_TP1,2026-07-14 12:30:00+00:00,185.14,4.9,False
NAS100,1h,SHORT,6,In kill zone;Premium zone (above 50% EQ);CHoCH confirmed on LTF;Wyckoff Distribution Phase C — UTAD confirmed;UTAD tested (no demand),2026-07-14 14:00:00+00:00,29781.25,29831.25,29679.0,29327.25,SL_AFTER_TP1,2026-07-14 14:30:00+00:00,29831.25,26.1,False
XAU/USD,1h,LONG,8,Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-16 11:00:00+00:00,4035.10009765625,4027.1,4089.1,4128.0,SL,2026-07-16 11:15:00+00:00,4027.1,-80.0,False
US30,1h,SHORT,6,Price at Bearish OB (52856.0 – 53111.0);Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ),2026-07-16 11:00:00+00:00,52987.0,53123.75,52694.67,52680.0,TP2,2026-07-16 19:00:00+00:00,52680.0,299.6,False
XAU/USD,1h,LONG,7,Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed,2026-07-16 12:00:00+00:00,4044.10009765625,4036.1,4089.1,4128.0,SL,2026-07-16 12:00:00+00:00,4036.1,-80.0,False
XAU/USD,1h,LONG,6,Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed,2026-07-16 13:00:00+00:00,3996.39990234375,3988.4,4089.1,4128.0,SL,2026-07-16 13:00:00+00:00,3988.4,-80.0,False
XAU/USD,1h,LONG,6,Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed,2026-07-16 14:00:00+00:00,3994.0,3986.0,4089.1,4128.0,SL,2026-07-16 17:30:00+00:00,3986.0,-80.0,False
US30,15min,LONG,8,HTF BULLISH bias aligns with LONG signal;Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-17 14:30:00+00:00,52742.0,52662.0,52952.33,53094.0,SL,2026-07-17 15:00:00+00:00,52662.0,-80.0,False
NAS100,1h,LONG,6,In kill zone;Discount zone (below 50% EQ);CHoCH confirmed on LTF;Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-22 08:00:00+00:00,29056.0,29006.0,29364.75,29798.38,SL,2026-07-22 12:15:00+00:00,29006.0,-50.0,False
US30,1h,LONG,7,Sell-side liquidity swept;In kill zone;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-23 09:00:00+00:00,52294.0,52214.0,52721.0,53103.0,SL,2026-07-23 09:30:00+00:00,52214.0,-80.0,False
US30,1h,LONG,6,Sell-side liquidity swept;Discount zone (below 50% EQ);Wyckoff Accumulation Phase C — Spring confirmed;Spring tested (no supply),2026-07-23 10:00:00+00:00,52226.0,52146.0,52721.0,53103.0,SL,2026-07-23 11:30:00+00:00,52146.0,-80.0,False
XAU/USD,1h,LONG,6,Price at Bullish OB (4081.0 – 4089.0);FVG present in zone;OB+FVG confluence zone;In kill zone;CHoCH confirmed on LTF,2026-07-23 12:00:00+00:00,4088.89990234375,4080.5,4112.5,4145.0,SL,2026-07-23 12:15:00+00:00,4080.5,-84.0,False
USD/CAD,1h,SHORT,7,Price at Bearish OB (1.4078 – 1.40946);Buy-side liquidity swept;In kill zone;Premium zone (above 50% EQ);CHoCH confirmed on LTF,2026-07-24 12:00:00+00:00,1.408750057220459,1.40996,1.4053,1.40487,SL,2026-07-24 12:30:00+00:00,1.40996,-12.1,False
